Image1,Image2,Glasses1,Glasses2,Match,Raw Distance,Raw Confidence,Adjusted Confidence,Confidence Level,Timestamp
uploads\profile_images\2bbe8332-72ed-4359-bc3b-b0e3a72cf06e_99028e07-06ee-4c7d-92ab-f9578a7b2ad3.jpeg,pic.jpeg,False,True,False,0.5587661726487253,44.12%,35.30%,Very Low,2025-03-03 19:27:40
uploads\profile_images\f07e508e-11f1-4794-a818-a311b3b21d58_16fc7c25-1ced-4851-8b72-d466d35c7f55.jpeg,pic.jpeg,False,True,False,0.5338141054891168,46.62%,37.29%,Very Low,2025-03-03 19:31:37
uploads\profile_images\a4eedc7c-4e4c-4cd9-b412-762b40f50e71_8ff145f3-06f6-4191-ad51-540b0114a854.jpeg,pic.jpeg,False,True,True,0.4496071374034313,55.04%,44.03%,Very Low,2025-03-03 19:32:27
uploads\profile_images\e3ce9c26-d40c-4321-bdf1-41a4eb495d08_6f706d76-1d0e-4595-95d0-12bd956ea310.jpeg,pic.jpeg,False,True,False,0.47725784062752385,52.27%,41.82%,Very Low,2025-03-03 19:36:05
uploads\profile_images\0a02c15c-5335-4de5-b960-6951dd7101a4_c5d42486-e711-486d-89a6-d09447b5c98f.jpeg,pic.jpeg,False,True,True,0.4478067640144239,55.22%,44.18%,Very Low,2025-03-03 19:36:30
uploads\profile_images\448a7df6-a7ae-4242-a466-52a1f171c598_627a8fc3-1057-49fb-a9a7-c2bd1b78142d.jpeg,pic6.jpeg,False,True,True,0.3679575514571772,63.20%,50.56%,Low,2025-03-03 19:42:46
uploads\profile_images\4061506e-7545-40ea-bddd-7bd38fbd06e9_418bd2d2-8d48-4164-b648-766ae43f912b.jpeg,pic6.jpeg,False,True,False,0.7219727183823078,27.80%,22.24%,Very Low,2025-03-03 19:57:00
uploads\profile_images\348f59c7-3614-44cf-8b30-d1c56578c82f_6457ca69-dcf0-4485-863a-1f086489792c.jpeg,pic.jpeg,False,True,False,0.4711894123797009,52.88%,42.30%,Very Low,2025-03-03 22:07:37
uploads\profile_images\138a91fa-efea-4f88-a109-2ab1cebbf26a_f9e1a917-0c6a-45cd-a438-a56aa2ccfc6f.jpeg,pic.jpeg,False,True,False,0.5162874148882748,48.37%,38.70%,Very Low,2025-03-03 22:08:13
uploads\profile_images\0b7b8e27-a8dd-4c75-a5a8-d2ff30a2e6f7_4a166c18-d5bd-4128-b8fa-613d7420569e.jpeg,pic.jpeg,False,True,False,0.4572052126515777,54.28%,43.42%,Very Low,2025-03-03 22:08:40
uploads\profile_images\4b70bdd4-af6a-4083-b214-b56cb6814bcf_218fb9ad-affe-4f99-8c36-a58ca703f0d9.jpeg,pic.jpeg,False,True,False,0.5338317935246344,46.62%,37.29%,Very Low,2025-03-03 22:10:05
uploads\profile_images\8c47b76d-5f7c-482a-a050-54ed21a29a30_1f432b87-9b30-472a-8028-643aff0b167b.jpeg,pic.jpeg,False,True,False,0.4592008608298063,54.08%,43.26%,Very Low,2025-03-03 22:10:49
uploads\profile_images\1b0254f6-c768-4fb1-a8a9-0f970d8c9e9e_0e2c1f93-2e56-4e10-907f-81f1042b7eb6.jpeg,pic4.jpeg,False,False,True,0.40333540105985893,59.67%,59.67%,Low,2025-03-03 22:12:11
uploads\profile_images\bb4be596-cd7b-4695-a75b-d26b91c7f991_682506a6-a7de-4c2c-ae3d-738e6a9c5a73.jpeg,pic.jpeg,False,True,False,0.500872256228853,49.91%,39.93%,Very Low,2025-03-03 22:17:26
uploads\profile_images\c62d25e5-b1ce-4274-9969-a7817212c13d_ab28deaa-ea82-46e5-9b05-3a572cfb1f26.jpeg,pic.jpeg,False,True,True,0.4353390718931843,56.47%,45.17%,Very Low,2025-03-03 22:17:47
uploads\profile_images\2bfd17cd-46a3-41f4-9557-b2f37f20710b_ea32c8fc-c9fa-4eab-92cf-2c959018b151.jpeg,pic.jpeg,False,True,True,0.427266528654233,57.27%,45.82%,Very Low,2025-03-03 22:27:27
uploads\profile_images\6f83ca4b-ad65-4675-adfd-3a4214c2fbc7_8366e933-aee0-4c67-b81b-69db1863ab80.jpeg,pic.jpeg,True,True,False,0.528305130552901,47.17%,42.45%,Very Low,2025-03-04 00:02:14
uploads\profile_images\22e9eb3e-b3a8-4eaa-8787-a3ea3aa584ab_2501a634-8528-4005-a485-ccc204d1fbe7.jpeg,pic.jpeg,False,True,False,0.45404457807426346,54.60%,43.68%,Very Low,2025-03-04 00:02:46
uploads\profile_images\a21263b8-bcfa-4472-bd77-f137ac737db4_94b8d01e-ee9f-41a3-95f3-f4547b880fb1.jpeg,pic4.jpeg,False,False,True,0.401104194045472,59.89%,59.89%,Low,2025-03-04 00:03:22
uploads\profile_images\acdf4e13-9506-4dfd-8c46-b6fe034420dd_62433caf-96c9-448a-8676-e6c2827b90fb.jpeg,pic4.jpeg,False,False,True,0.423676957365069,57.63%,57.63%,Low,2025-03-04 00:05:09
uploads\profile_images\9a2f273a-479e-4c11-9517-c8e9ab9136cb_bbd228ed-9aba-4ac6-943f-c6896fa6538e.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,True,0.3029320063051407,69.71%,69.71%,Moderate,2025-03-04 00:31:51
uploads\profile_images\8992d5e2-45cf-4060-9d16-c0c62d7ced39_e7747bd0-694a-43f8-9814-76561bddb4b7.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,True,0.28354906423385756,71.65%,71.65%,High,2025-03-04 00:32:47
uploads\profile_images\10083033-67ca-447d-8e91-0627de260190_7a06e9d7-35de-4c42-b908-ab1deddca8c9.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,True,0.43516014261874736,56.48%,56.48%,Low,2025-03-04 00:37:00
uploads\profile_images\e17d63fe-9078-433b-894e-344bb4fc661a_7b865d6c-bfce-48e8-8665-347414fcdb84.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,True,0.4389015197371165,56.11%,56.11%,Low,2025-03-04 00:37:56
uploads\profile_images\e17d63fe-9078-433b-894e-344bb4fc661a_7b865d6c-bfce-48e8-8665-347414fcdb84.jpeg,uploads\profiles\profile_Test5_20250304003738.jpg,False,False,True,0.022493168825917103,97.75%,97.75%,Very High,2025-03-04 00:38:00
uploads\profile_images\c55d1244-623b-448f-a365-0b69e2e3bb36_40b893b6-6750-4a99-9b21-79f2344cb63c.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,True,0.43898829705640957,56.10%,56.10%,Low,2025-03-04 00:44:01
uploads\profile_images\c55d1244-623b-448f-a365-0b69e2e3bb36_40b893b6-6750-4a99-9b21-79f2344cb63c.jpeg,uploads\profiles\profile_Test5_20250304003738.jpg,False,False,True,0.037081653647394644,96.29%,96.29%,Very High,2025-03-04 00:44:04
uploads\profile_images\b76346bf-32e4-434f-80b8-cb49774b7267_73f3f529-d8ae-4b45-a0db-1fcc07e53b22.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,True,0.4365370155033406,56.35%,56.35%,Low,2025-03-04 00:46:49
uploads\profile_images\b76346bf-32e4-434f-80b8-cb49774b7267_73f3f529-d8ae-4b45-a0db-1fcc07e53b22.jpeg,uploads\profiles\profile_Test5_20250304003738.jpg,False,False,True,0.018181865554187823,98.18%,98.18%,Very High,2025-03-04 00:46:52
uploads\profile_images\80d71c74-fa96-4960-99ac-54e2825200a4_c90d1165-b1c9-428b-8525-6534f0d92378.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,True,0.4389015197371165,56.11%,56.11%,Low,2025-03-04 00:49:16
uploads\profile_images\c51c23b3-c04b-4ea0-9327-d1e9830aa2f9_83058eba-e12a-4317-b29a-402006edd307.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,False,0.8183647924961949,18.16%,18.16%,Very Low,2025-03-04 00:51:38
uploads\profile_images\c51c23b3-c04b-4ea0-9327-d1e9830aa2f9_83058eba-e12a-4317-b29a-402006edd307.jpeg,uploads\profiles\profile_Test5_20250304003738.jpg,False,False,False,0.7615630260490023,23.84%,23.84%,Very Low,2025-03-04 00:51:42
uploads\profile_images\3337e0ab-ff20-47c1-8c35-dabc9caf6c17_8d526697-ba74-4036-a400-16c46ddbc4be.jpeg,uploads\profiles\profile_Photo_20250304000613.jpg,False,False,False,0.7707125211609228,22.93%,22.93%,Very Low,2025-03-04 00:53:15
